Currency HolidaysCurrency= CNH,Year= 2018Year,Month,Day,Name
2018,JAN,01,New Year
2018,FEB,15,Chinese New Year Eve
2018,FEB,16,Chinese New Year
2018,FEB,17,Chinese New Year
2018,FEB,18,Chinese New Year
2018,FEB,19,Chinese New Year
2018,FEB,20,Chinese New Year
2018,FEB,21,Chinese New Year
2018,MAR,30,Good Friday
2018,APR,02,Easter Monday
2018,APR,05,Tomb Sweeping Day
2018,APR,06,Qingming Festival
2018,APR,30,May Day Holiday [Bridge]
2018,MAY,01,May Day Holiday
2018,MAY,22,Buddha's Birthday
2018,JUN,18,Tuen Ng
2018,JUL,02,Mon after SAR Establishment Day
2018,SEP,24,Mid Autumn Festival
2018,SEP,25,Mid Autumn [Estimated]
2018,OCT,01,National Holiday
2018,OCT,02,National Holiday
2018,OCT,03,National Holiday
2018,OCT,04,National Holiday
2018,OCT,05,National Holiday
2018,OCT,06,National Holiday
2018,OCT,07,National Holiday
2018,OCT,17,Chung Yeung
2018,DEC,25,Christmas
2018,DEC,26,Christmas
2018,DEC,31,Last day of the year
