Currency HolidaysCurrency= CNH,Year= 2030Year,Month,Day,Name
2030,JAN,01,New Year
2030,FEB,02,Chinese New Year Eve
2030,FEB,03,Chinese New Year
2030,FEB,04,Mon after Lunar New Year
2030,FEB,05,Lunar New Year
2030,FEB,06,Lunar New Year
2030,FEB,07,Chinese New Year
2030,FEB,08,Chinese New Year
2030,APR,04,Ching Ming
2030,APR,19,Good Friday
2030,APR,22,Easter Monday
2030,APR,29,May Day Holiday [Bridge]
2030,APR,30,May Day Holiday [Bridge]
2030,MAY,01,Labour Day
2030,MAY,09,Buddha's Birthday[Estimated]
2030,JUN,05,Tuen Ng
2030,JUL,01,SAR Establishment Day
2030,SEP,12,Mid Autumn Festival
2030,SEP,13,Mid Autumn [Estimated]
2030,OCT,01,National Day
2030,OCT,02,National Holiday
2030,OCT,03,National Holiday
2030,OCT,04,National Holiday
2030,OCT,05,Chung Yeung
2030,OCT,06,National Holiday
2030,OCT,07,National Holiday
2030,DEC,25,Christmas
2030,DEC,26,Christmas
