Currency HolidaysCurrency= AED,Year= 2026Year,Month,Day,Name
2026,JAN,01,New Year
2026,MAR,20,Eid Al Fitr [Estimated]
2026,MAR,21,Eid Al Fitr [Estimated]
2026,MAR,22,Eid Al Fitr [Estimated]
2026,MAR,23,Eid Al Fitr [Estimated]
2026,MAY,26,Mount Arafat Day [Estimated]
2026,MAY,27,Eid Al Adha [Estimated]
2026,MAY,28,Eid Al Adha [Estimated]
2026,MAY,29,Eid Al Adha [Estimated]
2026,JUN,16,Hijri New Year [Estimated]
2026,AUG,25,Mawlid An Nabi [Estimated]
2026,DEC,01,Commemoration Day
2026,DEC,02,UAE National Day
2026,DEC,03,UAE National Day
